date,description,south_rating,kaanapali_rating,northwest_rating
"Saturday, January 8 2022","North West (epili,kapatua, Honolua)

Sunny skies, North breeze near 10 mph
HIGH SURF on the way! Will rise quickly
This AM Kapalua bay has smaller waves

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected all day! North breeze
Waves are smaller but likely increasing later
South face of Black Rock is looking good

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies expetced all day. North wind
Waves are breaking throughout the Zone.
Mile Marker 14 has the smallest waves",2.0,6.5,3.5
"Wednesday, January 5 202","North West (epili,kapatua, Honolua)

Mostly sunny. lilght wind, PM showers
DANGEROUS Waves & Currents!
Waves washing high onto shoreline

Near Ka'anapali (ick rock. airport Kahekil

Beautiful mostly sunny. Light wind
Waves breaking & currents are stronger
Smaller waves closer to south face of BR

South Shore (oiowalu, kinei, Makena Landing)

Sunshine expected with light wind
Waves still up in areas. Avoid waves
Mile Marker 14 & Kam 1 look best",5.5,4.5,1.0
"Monday, January 3 2022","North West (epili,kapatua, Honolua)

Partly sunny. Light winds expected
Waves up in some areas
Napili bay & Kapalua bay looken good

Near Ka'anapali (ick rock. airport Kahekil

Partly sunny. Light wind expected
Waves still breaking in areas
South face of Black Rock looking good

South Shore (oiowalu, kinei, Makena Landing)

Parlty sunny with light wind expected
Waves are pretty powerful throughout
Mile Marker 14 has the smallest waves",4.0,6.5,7.5
"Thursday, January 20 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Northeast breeze
Waves a little smaller inside the bays
Kapalua Bay is looking best in the zone

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected. North breeze
Waves & currents a little stronger in areas
South face of Black Rock is best

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Ligth on-shore breeze
Waves picked up & are affecting the zone
Mile Marker 14 has the smallest waves",4.0,7.0,5.5
"Friday, January 21 2022","North West (epili,kapatua, Honolua)

Sunny, Increasing east wind this PM
High Surf Warning. PM waves getting big
Smaller waves early in Kapalua Bay

Near Ka'anapali (ick rock. airport Kahekil

Sunny, Increasing north wind this PM
Waves up a bit. Bigger waves this PM
Black Rock & Kahekili pretty good this AM

South Shore (oiowalu, kinei, Makena Landing)

Sunny. Increasing east wind this PM
Waves are breaking & getting bigger
Smaller waves near Mile Marker 14",4.0,6.0,4.5
"Sunday, January 2 2022","North West (epili,kapatua, Honolua)

Sunny clear skies with light wind
Waves picking up in areas
Napili bay, Kapalua bay are really nice

Near Ka'anapali (ick rock. airport Kahekil

Clear sunny beach day! light wind
Waves still breaking but getting smaller
Black Rock & Kahekili have improved

South Shore (oiowalu, kinei, Makena Landing)

Sunny clear skies & light winds
Waves are powerful throughout the Zone
Smaller waves at Kam 1 & north end of Ulua",3.5,6.5,7.5
"Sunday, January 9 2022","North West (epili,kapatua, Honolua)

Sunny, light wind & Dangerous waves
HAZARDOUS Waves & extreme currents
Slightly smaller waves in Kapalua bay

Near Ka'anapali (ick rock. airport Kahekil

Sunny beautiful beach day. Light wind
Waves are small but may pick up
South face of Black Rock looks excellent

South Shore (oiowalu, kinei, Makena Landing)

Clear sunny skies. Dangerous waves
Powerful waves & strong currents
Smaller waves at Mile Marker-14",2.0,7.0,1.5
"Monday, January 10 2022","North West (epili,kapatua, Honolua)

Cloudy, south wind, possible showers
Powerful currents & waves throughout
Slightly smaller waves inside Kapalua bay

Near Ka'anapali (ick rock. airport Kahekil

Cloudy this AM, Possible showers
Waves & currents have picked up
South face of BR is OK. May improve later

South Shore (oiowalu, kinei, Makena Landing)

Cloudy, chance of showers, south wind
Powerful waves & currents throughout
Mile Marker 14 is good early & closer to shore",2.0,5.5,2.5
"Saturday, January 12022","North West (epili,kapatua, Honolua)

Mostly sunny. Slight chance PM showers
Waves in more open ocean areas
Napili bay good- Kapalua is best

Near Ka'anapali (ick rock. airport Kahekil

Sunshine expected all day. South PM wind
Bigger waves breaking along the shoreline
Black Rock still OK but be cautiousof waves

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies expected for most of the day
Powerful waves just about everywhere
Wailea beach has the smallest waves",3.5,5.0,6.5
"Tuesday, January 42022","North West (epili,kapatua, Honolua)

Sunshine expected. Light south wind
Waves may pick up later
Napili bay & Kapalua bay= crystal clear

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected. South wind
Wind may affect conditions later
Kahekili looks great. Black Rock good too

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Increasing south wind
Waves still breaking slightly too big
Mile Marker 14 is closest best spot",4.5,7.0,8.0
"Thursday, January 6 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Light wind. Hazardous
HIGH SURF ADVISORY! Dangerous waves
Extrememly powerful currents & waves

Near Ka'anapali (ick rock. airport Kahekil

Sunny clear skies expected.Light wind
Waves are breaking & getting bigger
Black Rock does have OK visibility

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies & light wind expected
Dangerous waves slamming the shore
Smaller waves in parts of North Kihei",3.5,4.5,1.0
"Friday, January 7 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Breezy north wind
High Surf & strong currents & under tow
Waves slightly smaller at Kapalua bay

Near Ka'anapali (ick rock. airport Kahekil

Sunny beautiful beach day. North breeze
Waves are smaller closer to Black Rock
Black Rock is best. Strong currents near tip

South Shore (oiowalu, kinei, Makena Landing)

Sunshine expected. North breeze
DANGEROUS Waves throughout the Zone
Waves may be smaller at Mile Marker 14",1.0,5.0,3.0
"Thursday, January 27 2022","North West (epili,kapatua, Honolua)

Sunny skies. Lighter east wind
Waves breaking in more exposed areas
Kapalua Bay is best. Napili Bay good too

Near Ka'anapali (ick rock. airport Kahekil

Sunshine & light wind expected all day
Waves should stay pretty small
Kahekili & south face of Black Rock are best

South Shore (oiowalu, kinei, Makena Landing)

Sunny with light onshore breeze expected
Waves are slightly elevated but much smaller
Kam 1, Ulua & Makena Landing improved",6.5,8.0,6.5
"Wednesday, January 26 20","North West (epili,kapatua, Honolua)

Sunny skies expected. Breezy east wind
Waves smaller in more protected bays
Kapalua bay is looking really nice this AM

Near Ka'anapali (ick rock. airport Kahekil

Clear sunny skies & light wind expected
Waves should stay pretty smalll today
Kahekili & Black Rock are both good

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies & lighter winds expected
Waves still up a bit at most spots
Mile Marker 14 lookin nice. Kam 1 smaller waves",5.0,8.0,6.5
"Tuesday, January 18 2022","North West (epili,kapatua, Honolua)

Sunnyskies & light east breeze
Waves still breaking in areas
Napili bay & Kapalua Bay are lookin good

Near Ka'anapali (ick rock. airport Kahekil

Sunshine & a light onshore breeze
Waves are just slightly elevated
South face of Black Rock lookin great

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies. Light breeze increasing later
Waves still breaking at elevated sizes
Smaller in north end of Ulua & Mile Marker 14",5.0,8.0,6.5
"Sunday, January 30 2022","North West (epili,kapatua, Honolua)

Sunny. East winds gusting near 20 mph
Inside the bays the waves are pretty small
Inside Napili Bay & Kapalua Bay looks great

Near Ka'anapali (ick rock. airport Kahekil

Sunny with a light east breeze expected
Waves are smaller & visibility is clear
Black Rock & Kahekili both beautiful

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies. Lighter north wind this PM
Waves still up a little bit but smaller today
Kam 1,2,3, Ulua & Mak Landing look nice",7.0,8.5,7.5
"Monday, January 24 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Breezy east wind
High Surf Advisory! Waves & currents!
Slightly smaller waves inside Kapalua Bay

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies. PM winds likely lighter
Waves still breaking but slightly smaller
South face of Black Rock has calmer water

South Shore (oiowalu, kinei, Makena Landing)

Sunshine expected. Lighter north wind
Powerful waves & currents continue
Mile Marker 14= best chance for smaller waves",2.0,5.0,3.0
"Monday, January 31 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Light east breeze
Waves expected to rise sometime
Honolua & Kapalua bay lookin good this AM

Near Ka'anapali (ick rock. airport Kahekil

Sunny. Calm winds expected all day
Slightly elevated waves & currents
Black Rock & Kahekili both lookin great

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Light onshore breeze this PM
Waves are up in areas, mainly in Makena
Kamaole beaches & Ulua looking good",6.5,8.0,7.0
"Wednesday, January 19 20;","North West (epili,kapatua, Honolua)

Mostyl sunny. Increasing east winds
Waves risinig. Could get Hazardous later
Inside Kapalua Bay is good this morning

Near Ka'anapali (ick rock. airport Kahekil

Sunshine expected light east wind
Waves up slightly may pick up later
Kahekili is good, Black Rock is great this AM

South Shore (oiowalu, kinei, Makena Landing)

Mostyl sunny. Light inshore winds
Waves have picked up & getting bigger
Mile Marker 14 is closest best chance",4.5,75,5.5
"Sunday, January 23 2022","North West (epili,kapatua, Honolua)

Mostly sunny. East wind gusting near 30
Dangerous ocean conditions! Big Waves!
Slightly smaller waves in Kapalua Bay

Near Ka'anapali (ick rock. airport Kahekil

Beautiful sunny day. Breezy PM wind
Powerful Waves breaking. Strong currents
Slightly smaller waves closer to Black Rock

South Shore (oiowalu, kinei, Makena Landing)

Sunny beautiful day. Lightest wind in Wailea
Powerful very dangerous waves! Strong currents
Slightly smaller waves at Kamaole #1",1.5,3.5,1.5
"Friday, February 11 2022","North West (epili,kapatua, Honolua)

Sunny skies. Increasing PM winds
Waves breaking in the shallows
Kapalua Bay & most of Honolua are good

Near Ka'anapali (ick rock. airport Kahekil

Beautiful sunny skies expected all day
Waves slightly up in some areas
Black Rock & Kahekili both looking great

South Shore (oiowalu, kinei, Makena Landing)

Sunny. Increasing PM winds
Waves are bigger. May get smaller later
Parts of Kam 1 & part of Ulua= smaller waves",5.0,8.0,7.5
"Thursday, February 10 2023","North West (epili,kapatua, Honolua)

Sunny with light variable winds
Waves are breaking in the shallows
Honolua & kapalua are best

Near Ka'anapali (ick rock. airport Kahekil

Sunny, light & variable PM breeze
Waves are pretty small
Kahakili & Black Rock looking great

South Shore (oiowalu, kinei, Makena Landing)

Sunny with light onshore breeze this PM
Waves are getting smaller, still up in areas
Kam beaches, Ulua & Wailea beach look good",7.5,8.0,7.0
"Friday, February 25 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Very windy this afternoon
High Surf Warning! Hazrdous this PM
Part of Kapalua Bay has smaller waves

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies & light winds are likely
Small waves this AM. May pick up later
Kahekili & Black Rock both excellent early

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Light AM winds, stronger PM
Waves on the rise. Probably hazradous later
Mile Marker 14 & part of Ulua looking good early",4.0,75,3.5
"Thursday, February 24 202%","North West (epili,kapatua, Honolua)

Partly sunny. Super strong winds
High Surf Warning. Dangerous waves
Smallest waves are inside Kapalua Bay

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected. Lighter winds
PM winds at Kahekili. Waves may rise
South face of Black Rock good all day

South Shore (oiowalu, kinei, Makena Landing)

Sunshien for most of the day. Strong PM wind
Choppy afternoon. Waves may rise later
Kam 1,2,3, Ulua & Mak Landing look good",6.5,75,4.0
"Wednesday, February 9 20:","North West (epili,kapatua, Honolua)

Mostly sunny. East wind around 10 mph
Waves breaking bigger in areas
Part of Honolua is Ok. Kapalua Bay is best

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies & light wind expected
Mostly small waves. Occasional bigger wave
Kahekili & Black Rock both looking great

South Shore (oiowalu, kinei, Makena Landing)

Sunny for most of the day. Lighter wind
Waves are a bit smaller but still powerful
Kam 1 & north end Ulua have smallest waves",5.0,8.0,5.5
"Tuesday, February 8 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Lighter winds expected
Waves in the shallows & sides of bays
Kapalua Bay & Honolua looking nice

Near Ka'anapali (ick rock. airport Kahekil

Sunnys skies & light wind expected
Waves are small & may pick up later
Black Rock & Kahekili both looking good

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny with lighter wind in Wailea
Waves are still breaking at most spots
Smaller waves at Kam 1 & north end of Ulua",5.5,8.0,7.0
"Thursday, February 3.2022","North West (epili,kapatua, Honolua)

Mostly sunny. East wind gusts 20 mph
Smaller waves. Strong currents further out
Napili, Kapalua, Honolua bays looking good

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies. Light northeast breeze
Only slightly elevated waves this morning
Black Rock & Kahekili both fantastic

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies & light east breeze expected
Waves slighity up in some areas
Kam 1, Ulua, Makena Landing looking good",7.0,8.5,7.5
"Wednesday, February 2 20:","North West (epili,kapatua, Honolua)

Sunny skies. Breezy with 15 mph gusts
Waves are breaking in exposed areas
Kapalua Bay is best with smallest waves

Near Ka'anapali (ick rock. airport Kahekil

Sunny beach day with light winds
Occasional elevated waves in areas
Black Rock & Kahekili both looking good

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies.Light winds for most of the Zone
Occasional sets of elevated waves
Kam 1, Ulua & Mile Marker 14 looking good",6.5,75,5.5
"Friday, February 42022","North West (epili,kapatua, Honolua)

Sunny, Increasing PM winds
Waves picking up. May be hazardous later
Kapalua Bay is looking very nice this AM

Near Ka'anapali (ick rock. airport Kahekil

Clear sunny skies with light winds
Waves are small & may pick up later
Black Rock & kahekili both looking great

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies & light winds this morning
Waves are up & may get bigger this PM
Ulua beach & Kam 1 have smallest waves",6.0,75,6.5
"Saturday, February 5 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Passing scattered showers
Waves are hazardous in some areas
Kapalua Bay has the calmest water

Near Ka'anapali (ick rock. airport Kahekil

Mostyl sunny. Maybe brief isolated showers
Waves are up in some areas. Not huge though
South face of Black Rock looking best

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Passing showers possible
Waves are powerful & Hazardous in areas
Mile Marker 14 is closest best chance",4.5,6.5,5.0
"Monday, February 28 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Lighter winds today
Waves in areas of each bay
Part of Kapalua & Napili bays = smaller waves

Near Ka'anapali (ick rock. airport Kahekil

Sunshine expected/ Light onshore breeze
Waves are a little bigger- mainly at Kahekili
South face of Black Rock is looking best

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. North breeze this afternoon
Waves are breaking along much of the zone
Smaller waves= south Kam 1, north Ulua",5.0,6.5,4.0
"Wednesday, February 16 2¢","North West (epili,kapatua, Honolua)

Sunny this AM. Increasing PM clouds
Hazardous ocean conditions. Big waves
Kapalua Bay has smaller waves

Near Ka'anapali (ick rock. airport Kahekil

Sunny, Possible increasing PM clouds
Stronger waves & currents in areas
South face of Black Rock has smaller waves

South Shore (oiowalu, kinei, Makena Landing)

Sunny AM. Increasing PM clouds
Dangerous ocean conditions! Big waves
South end of Kam 1= slightly smaller waves",2.0,5.0,3.5
"Thursday, February 17 2022","North West (epili,kapatua, Honolua)

Sunshine expected. Strong east wind
Waves & currents in some areas
Kapalua Bay is looking really nice

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies & lighter wind expected
Waves are slighlty elevated & just surging
Black Rock & Kahekli both looking good

South Shore (oiowalu, kinei, Makena Landing)

Sunny for most of the day. Breezy PM
Waves are smaller but still powerful
Mile Marker 14 has the smallest waves",4.5,7.0,5.5
"Tuesday, February 22 2022","North West (epili,kapatua, Honolua)

Isolated showers & super strong winds
Extremely strong currents in areas
Part of Napili Bay & Kapalua Bay are best

Near Ka'anapali (ick rock. airport Kahekil

Sunshine expetced. Increasing PM wind
Wind likely affecting Kahekili later
South face of Black Rock good all day

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Increasing PM wind
Choppy wind waves expected later
Kam 1,2,3, Wailea & Mak Landing look good",6.5,75,6.0
"Wednesday, February 23 2","North West (epili,kapatua, Honolua)

Sunny skies & super strogn wind
Waves still elveated in some areas
Kapalua Bay & Honolua bay improved

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies & light wind expected
Wind may pick up later affecting Kahekili
Kahekili & Black Rock are both excellent

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies, Light wind this morning
Wind waves likely picking up later
Kam 1,2,3, Ulua & Mak Landing look good",7.0,8.0,6.0
"Tuesday, February 12022","North West (epili,kapatua, Honolua)

Sunny after possible isolated showers
Hazardous conditions expected later
Kapalua Bay is looking best in the Zone

Near Ka'anapali (ick rock. airport Kahekil

Sunshine & favorable wind expected
Waves are up slightly & may rise later
Black Rock & Kahekili both good this AM

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies & light wind in Wailea area
Waves up slightly & likely getting bigger later
Kam 1, Ulua & Mile Marker 14 good this AM",6.0,7.0,5.0
"Saturday, February 26 2022","North West (epili,kapatua, Honolua)

Partly to mostly sunny. Storgn PM wind
High Surf Warning. Dangerous waves
Inside Kapalua Bay has smaller waves

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies & light wind expected
Waves are slighty up in some areas
Kahekili is good, Black Rock looks great

South Shore (oiowalu, kinei, Makena Landing)

Sunny & light wind early increasing this PM
Waves are breaking powerful in areas
Part of Kamaole 1 & Mile Marker 14 look best",5.0,75,3.5
"Sunday, February 27 2022","North West (epili,kapatua, Honolua)

Mostly sunny with lighter wind
High Surf Advisory. Strong waves/currents
Smallest waves are inside Kapalua bay

Near Ka'anapali (ick rock. airport Kahekil

Sunshine expected after morning clouds
Waves are not big but are elevated
South face of Black Rock has best visibility

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny after morning clouds
Waves are smaller but still powerful areas
Part of Kam 1 & of Ulua have smallest waves",5.0,7.0,3.0
"Friday, February 18 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Windy. Passing clouds
Waves & stronger currents in areas
Kapalua Bay & part of Honolua are best

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected. Breezy afternoon
PM winds likely affecting Kahekili beach
Black Rock & Kahekili both great this AM

South Shore (oiowalu, kinei, Makena Landing)

Sunshine expected. Windy afternoon
Waves still breaking but getting smaller
MM-14, part of Ulua & Mak Landing improving",5.5,8.0,7.0
"Saturday, February 19 2022","North West (epili,kapatua, Honolua)

Sunny, Increasing afternoon east wind
Waves may pick up later in areas
Kapalua Bay & Honolua both really good

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies & light winds expected
Waves are small. May pick up a little bit
Black Rock & Kahekili are both excellent

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies. Increasing afternoon wind
Waves are much smaller at most spots
Kamaole beaches, Ulua & Mak Landing good",7.0,8.5,7.5
"Saturday, February 12 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Breezy afternoon
Waves along the shallow sides of bays
Kapalua Bay & Honolua Bay looking good

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected. North breeze this PM
Waves are pretty small, PM breeze at Kahekili
Black Rock & Kahekili both excellent this AM

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Possible PM clouds in areas
Smaller waves, still elevtated in small areas
Kam 1, Ulua & Makena Landing improved",7.0,8.0,7.5
"Sunday, February 13 2022","North West (epili,kapatua, Honolua)

Mostly sunny, isolated showers, breezy
Stong currents outside the bays
Kapalua Bay & Honolua looking good

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected. Windy afternoon
PM wind affecting Kahekili & rock tip
South face of Black Rock good all day

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies, increasing PM clouds. Breezy PM
Waves up in some areas at times
Kam 1, Wailea beaches & Mak Landing good",6.5,75,7.0
"Monday, February 21 2022","North West (epili,kapatua, Honolua)

Rain showers early. Clearing up PM
Waves still breaking, Murky water
Kapalua Bay improving when rain stops

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies & light wind expected
Waves are pretty small. PM wind
Kahekili good. Black Rock great

South Shore (oiowalu, kinei, Makena Landing)

Sunny for most of the day. PM clouds
Slightly elevated waves. PM wind waves
Kam 1,2,3, Ulua & Mak Landing good",7.0,8.0,5.0
"Sunday, February 20 2022","North West (epili,kapatua, Honolua)

Scattered showers & strong winds
Waves are powerful & currents strong
Kapalua Bay has smallest waves

Near Ka'anapali (ick rock. airport Kahekil

Isolated showers & wind, Likley better later
Choppy waves & stronger currents
South face of Black Rock has area of calm

South Shore (oiowalu, kinei, Makena Landing)

Sunny, light wind this AM. Windy PM
Waves are up slightly in areas
Kam 1, Ulua, Wailea & Mak Landing look good",6.5,6.0,4.0
"Tuesday, February 15 2022","North West (epili,kapatua, Honolua)

Sunny skies & breezy east winds
Powerful waves getting bigger all day
Inside Kapalua Bay has smaller waves

Near Ka'anapali (ick rock. airport Kahekil

Sunshine & light winds expected
Waves are not huge but powerful in areas
South face of Black Rock looks good

South Shore (oiowalu, kinei, Makena Landing)

Sunny skies this AM. PM Clouds & wind
Waves are powerful & getting bigger
South end of Kamaole park 1= smaller waves",4.0,6.5,4.5
"Monday, February 14 2022","North West (epili,kapatua, Honolua)

Isolated showers & mostly sunny. Breezy
Waves are on the rise affecting areas
Kapalua Bay & part of Honoua are good

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected. Light east wind
Waves may start to rise this afternoon
Black ROck & Kahekili both great this AM

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny with light winds expected
Waves are small early, rising later today
Parts of Kam 1, Ulua & Mak Landing are good",7.0,8.0,6.0
"Monday, February 7 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Wind gusts over 25 mph
Waves in the shallows & outside the bays
Kapalua Bay & parts of Honolua good

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies expected. Northeast wind
Waves in areas, bigger at Kahekili beach
South face of Black Rock looks great

South Shore (oiowalu, kinei, Makena Landing)

Sunshine & light wind in Wailea
Waves are still powerful throughout the zone
Slightly smaller waves at Kamaole beach 1",3.5,7.0,6.5
"Sunday, February 6 2022","North West (epili,kapatua, Honolua)

Mostly sunny. Very windy this afternoon
Waves picked up & may get bigger
Kapalua Bay looking best in the Zone

Near Ka'anapali (ick rock. airport Kahekil

Mostyl sunny. Strong northeast wind later
Waves slightly up in areas of the beach
South face of Black Rock is best all day

South Shore (oiowalu, kinei, Makena Landing)

Mostly sunny. Breezy. Lighter winds in Wailea
Waves are Hazardous throughout the Zone
Slightly smaller waves at Kamaole Beach # 1",3.5,7.0,5.5
"Tuesday, March 29 2022","North West (epili,kapatua, Honolua)

Partly sunny. Increasing PM clouds
Waves picked up & may rise more
Kapalua Bay is looking best & calm

Near Ka'anapali (ick rock. airport Kahekil

Mostly sunny. Increasing PM clouds
Slight chance of isolated showers later
Kahekili & Black Rock both look great

South Shore (oiowalu, kinei, Makena Landing)

Mostly to partly sunny. Increasing PM clouds
Waves & wind may increase later
Kam 1,2,3, Ulua & Makena Landing are best",7.0,8.,6.
"Monday, March 28 2022","North West (epili,kapatua, Honolua)

Mostly sunny. PM clouds likely
Waves are elevate in exposed areas
Part of Honolua is good. Kapalua Bay is best

Near Ka'anapali (ick rock. airport Kahekil

Sunny skies & light wind expected
The usual stronger currents further out
Kahekili & Black Rock likely excellent all day

South Shore (oiowalu, kinei, Makena Landing)

Sunny for most of the day. PM clouds
PM onshore breeze may affect areas
Kam 1,2,3, Ulua & Makena Landing look great",8.,8.5,7.0
